example_id                                                        | status | run_time        |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:2:1] | passed | 0.03152 seconds |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:2:2] | passed | 0.03866 seconds |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:3:1] | passed | 0.0673 seconds  |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:3:2] | passed | 0.03362 seconds |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:4:1] | passed | 0.03674 seconds |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:4:2] | passed | 0.03833 seconds |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:5:1] | passed | 0.03072 seconds |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:5:2] | passed | 0.03341 seconds |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:6:1] | passed | 0.03054 seconds |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:6:2] | passed | 0.0393 seconds  |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:7:1] | passed | 0.03625 seconds |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:7:2] | passed | 0.0343 seconds  |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:8:1] | passed | 0.03607 seconds |
./spec/policies/admin/maintenance_tasks_run_policy_spec.rb[1:8:2] | passed | 0.03383 seconds |
./spec/policies/admin/system_group_policy_spec.rb[1:1:1]          | passed | 0.03167 seconds |
./spec/policies/admin/system_group_policy_spec.rb[1:1:2]          | passed | 0.03524 seconds |
./spec/policies/admin/system_group_policy_spec.rb[1:2:1]          | passed | 0.05166 seconds |
./spec/policies/admin/system_group_policy_spec.rb[1:2:2]          | passed | 0.03292 seconds |
./spec/policies/admin/system_group_policy_spec.rb[1:3:1]          | passed | 0.03499 seconds |
./spec/policies/admin/system_group_policy_spec.rb[1:3:2]          | passed | 0.04224 seconds |
./spec/policies/admin/system_group_policy_spec.rb[1:4:1]          | passed | 0.03351 seconds |
./spec/policies/admin/system_group_policy_spec.rb[1:4:2]          | passed | 0.03425 seconds |
./spec/policies/admin/system_group_policy_spec.rb[1:5:1]          | passed | 0.03242 seconds |
./spec/policies/admin/system_group_policy_spec.rb[1:5:2]          | passed | 0.04198 seconds |
./spec/policies/admin/system_group_policy_spec.rb[1:6:1]          | passed | 0.03858 seconds |
